ID,SEQUENCE,POS,PROJECT,FILE
4676,get response content type,VB NN NN NN,spring-framework,MockPortletRequest.java
4677,get response content types,VB NN NN NNS,spring-framework,MockPortletRequest.java
4678,add locale,VB NN,spring-framework,MockPortletRequest.java
4679,add preferred locale,VB JJ NN,spring-framework,MockPortletRequest.java
4680,get locales,VB NNS,spring-framework,MockPortletRequest.java
4681,set scheme,VB NN,spring-framework,MockPortletRequest.java
4682,set server name,VB NN NN,spring-framework,MockPortletRequest.java
4683,get server name,VB NN NN,spring-framework,MockPortletRequest.java
4684,set server port,VB NN NN,spring-framework,MockPortletRequest.java
4685,get server port,VB NN NN,spring-framework,MockPortletRequest.java
4686,set window i d,VB NN NN NN,spring-framework,MockPortletRequest.java
4687,get window i d,VB NN NN NN,spring-framework,MockPortletRequest.java
4688,set cookies,VB NNS,spring-framework,MockPortletRequest.java
4689,get cookies,VB NNS,spring-framework,MockPortletRequest.java
4690,get private parameter map,VB JJ NN NN,spring-framework,MockPortletRequest.java
4691,get public parameter map,VB JJ NN NN,spring-framework,MockPortletRequest.java
4692,register public parameter,VB JJ NN,spring-framework,MockPortletRequest.java
4693,resolve theme name,VB NN NN,spring-framework,FixedThemeResolver.java
4694,set theme name,VB NN NN,spring-framework,FixedThemeResolver.java
4695,get bean class name,VB NN NN NN,spring-framework,CastorMarshallerBeanDefinitionParser.java
4696,init pattern representation,VB NN NN,spring-framework,JdkRegexpMethodPointcut.java
4697,init excluded pattern representation,VB JJ NN NN,spring-framework,JdkRegexpMethodPointcut.java
4698,matches exclusion,VBZ NN,spring-framework,JdkRegexpMethodPointcut.java
4699,compile patterns,VB NNS,spring-framework,JdkRegexpMethodPointcut.java
4700,get managed resource,VB JJ NN,spring-framework,PropertiesNamingStrategyTests.java
4701,get correct object name,VB JJ NN NN,spring-framework,PropertiesNamingStrategyTests.java
4702,is before advice,VBZ IN NN,spring-framework,AspectJAfterReturningAdvice.java
4703,is after advice,VBZ IN NN,spring-framework,AspectJAfterReturningAdvice.java
4704,set returning name,VB VBG NN,spring-framework,AspectJAfterReturningAdvice.java
4705,after returning,IN VBG,spring-framework,AspectJAfterReturningAdvice.java
4706,should invoke on return value of,MD VB IN JJ NN IN,spring-framework,AspectJAfterReturningAdvice.java
4707,matches return value,VBZ JJ NN,spring-framework,AspectJAfterReturningAdvice.java
4708,customize property sources,VB NN NNS,spring-framework,StandardServletEnvironment.java
4709,init property sources,VB NN NNS,spring-framework,StandardServletEnvironment.java
4710,send,VB,spring-framework,DestinationResolvingMessageSendingOperations.java
4711,convert and send,VB CC VB,spring-framework,DestinationResolvingMessageSendingOperations.java
4712,cache aspect,NN NN,spring-framework,AspectJCachingConfiguration.java
4713,bean configurer aspect,NN NN NN,spring-framework,SpringConfiguredConfiguration.java
4714,should resolve message code,MD VB NN NN,spring-framework,DefaultMessageCodesResolverTests.java
4715,should resolve field message code,MD VB NN NN NN,spring-framework,DefaultMessageCodesResolverTests.java
4716,should resolve indexed field message code,MD VB JJ NN NN NN,spring-framework,DefaultMessageCodesResolverTests.java
4717,should resolve message code with prefix,MD VB NN NN IN NN,spring-framework,DefaultMessageCodesResolverTests.java
4718,should resolve field message code with prefix,MD VB NN NN NN IN NN,spring-framework,DefaultMessageCodesResolverTests.java
4719,should support null prefix,MD VB JJ NN,spring-framework,DefaultMessageCodesResolverTests.java
4720,should support malformed index field,MD VB JJ NN NN,spring-framework,DefaultMessageCodesResolverTests.java
4721,should support null field type,MD VB JJ NN NN,spring-framework,DefaultMessageCodesResolverTests.java
4722,should support postfix format,MD VB NN NN,spring-framework,DefaultMessageCodesResolverTests.java
4723,should support field postfix format,MD VB NN NN NN,spring-framework,DefaultMessageCodesResolverTests.java
4724,should support custom format,MD VB JJ NN,spring-framework,DefaultMessageCodesResolverTests.java
4725,ear,NN,spring-framework,EarTests.java
4726,test dynamic mode,VB JJ NN,spring-framework,GuavaCacheManagerTests.java
4727,test static mode,VB JJ NN,spring-framework,GuavaCacheManagerTests.java
4728,change cache specification recreate cache,VB NN NN VB NN,spring-framework,GuavaCacheManagerTests.java
4729,change cache loader recreate cache,VB NN NN VB NN,spring-framework,GuavaCacheManagerTests.java
4730,set cache name null restore dynamic mode,VB NN NN JJ VB JJ NN,spring-framework,GuavaCacheManagerTests.java
4731,cache loader use loading cache,NN NN NN VBG NN,spring-framework,GuavaCacheManagerTests.java
4732,mock cache loader,JJ NN NN,spring-framework,GuavaCacheManagerTests.java
4733,send before handler initialized,VB IN NN VBN,spring-framework,ResponseBodyEmitterTests.java
4734,send duplicate before handler initialized,VB NN IN NN VBN,spring-framework,ResponseBodyEmitterTests.java
4735,send before handler initialized with error,VB IN NN VBN IN NN,spring-framework,ResponseBodyEmitterTests.java
4736,send fails after complete,VB NNS IN VB,spring-framework,ResponseBodyEmitterTests.java
4737,send after handler initialized,VB IN NN VBN,spring-framework,ResponseBodyEmitterTests.java
4738,send after handler initialized with error,VB IN NN VBN IN NN,spring-framework,ResponseBodyEmitterTests.java
4739,send with error,VB IN NN,spring-framework,ResponseBodyEmitterTests.java
4740,on timeout before handler initialized,IN NN IN NN VBN,spring-framework,ResponseBodyEmitterTests.java
4741,on timeout after handler initialized,IN NN IN NN VBN,spring-framework,ResponseBodyEmitterTests.java
4742,on completion before handler initialized,IN NN IN NN VBN,spring-framework,ResponseBodyEmitterTests.java
4743,on completion after handler initialized,IN NN IN NN VBN,spring-framework,ResponseBodyEmitterTests.java
4744,view class,VB NN,spring-framework,GroovyMarkupViewResolverTests.java
4745,get annotations,VB NNS,spring-framework,AnnotationUtils.java
4746,get repeatable annotation,VB JJ NN,spring-framework,AnnotationUtils.java
4747,get repeatable annotations,VB JJ NNS,spring-framework,AnnotationUtils.java
4748,get declared repeatable annotations,VB JJ JJ NNS,spring-framework,AnnotationUtils.java
4749,find annotation,VB NN,spring-framework,AnnotationUtils.java
4750,search on interfaces,VB IN NNS,spring-framework,AnnotationUtils.java
4751,is interface with annotated methods,VBZ NN IN JJ NNS,spring-framework,AnnotationUtils.java
4752,find annotation declaring class,VB NN VBG NN,spring-framework,AnnotationUtils.java
4753,find annotation declaring class for types,VB NN VBG NN IN NNS,spring-framework,AnnotationUtils.java
4754,is annotation declared locally,VBZ NN VBN RB,spring-framework,AnnotationUtils.java
4755,is annotation inherited,VBZ NN VBN,spring-framework,AnnotationUtils.java
4756,is annotation meta present,VBZ NN NN JJ,spring-framework,AnnotationUtils.java
4757,is in java lang annotation package,VBZ IN NN NN NN NN,spring-framework,AnnotationUtils.java
4758,get annotation attributes,VB NN NNS,spring-framework,AnnotationUtils.java
4759,retrieve annotation attributes,VB NN NNS,spring-framework,AnnotationUtils.java
4760,adapt value,VB NN,spring-framework,AnnotationUtils.java
4761,post process annotation attributes,IN VB NN NNS,spring-framework,AnnotationUtils.java
4762,synthesize annotation,VB NN,spring-framework,AnnotationUtils.java
4763,synthesize annotation array,VB NN NN,spring-framework,AnnotationUtils.java
4764,get attribute alias map,VB NN NN NN,spring-framework,AnnotationUtils.java
4765,can expose synthesized marker,MD VB JJ NN,spring-framework,AnnotationUtils.java
4766,is synthesizable,VBZ JJ,spring-framework,AnnotationUtils.java
4767,get attribute alias names,VB NN NN NNS,spring-framework,AnnotationUtils.java
4768,get attribute override name,VB NN NN NN,spring-framework,AnnotationUtils.java
4769,get attribute methods,VB NN NNS,spring-framework,AnnotationUtils.java
4770,is attribute method,VBZ NN NN,spring-framework,AnnotationUtils.java
4771,is annotation type method,VBZ NN NN NN,spring-framework,AnnotationUtils.java
4772,rethrow annotation configuration exception,VB NN NN NN,spring-framework,AnnotationUtils.java
4773,handle introspection failure,VB NN NN,spring-framework,AnnotationUtils.java
4774,resolve container annotation type,VB NN NN NN,spring-framework,AnnotationUtils.java
4775,validate default value configuration,VB JJ NN NN,spring-framework,AnnotationUtils.java
4776,validate against,VB IN,spring-framework,AnnotationUtils.java
4777,is override for,VBZ NN IN,spring-framework,AnnotationUtils.java
4778,is alias for,VBZ NN IN,spring-framework,AnnotationUtils.java
4779,get other descriptors,VB JJ NNS,spring-framework,AnnotationUtils.java
4780,get attribute override descriptor,VB NN NN NN,spring-framework,AnnotationUtils.java
4781,get aliased attribute name,VB VBN NN NN,spring-framework,AnnotationUtils.java
4782,reset static fields,VB JJ NNS,spring-framework,ReflectionTestUtilsTests.java
4783,set field with null target object,VB NN IN JJ NN NN,spring-framework,ReflectionTestUtilsTests.java
4784,get field with null target object,VB NN IN JJ NN NN,spring-framework,ReflectionTestUtilsTests.java
4785,set field with null target class,VB NN IN JJ NN NN,spring-framework,ReflectionTestUtilsTests.java
4786,get field with null target class,VB NN IN JJ NN NN,spring-framework,ReflectionTestUtilsTests.java
4787,set field with null name and null type,VB NN IN JJ NN CC JJ NN,spring-framework,ReflectionTestUtilsTests.java
4788,set field with bogus name,VB NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4789,set field with wrong type,VB NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4790,set field and get field for standard use cases,VB NN CC VB NN IN JJ NN NNS,spring-framework,ReflectionTestUtilsTests.java
4791,set field with null values for non primitives,VB NN IN JJ NNS IN RB NNS,spring-framework,ReflectionTestUtilsTests.java
4792,set field with null value for primitive long,VB NN IN JJ NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4793,set field with null value for primitive int,VB NN IN JJ NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4794,set field with null value for primitive boolean,VB NN IN JJ NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4795,set field on legacy entity with side effects in to string,VB NN IN JJ NN IN JJ NNS IN TO NN,spring-framework,ReflectionTestUtilsTests.java
4796,set static field via class,VB JJ NN IN NN,spring-framework,ReflectionTestUtilsTests.java
4797,set static field via class with explicit type,VB JJ NN IN NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4798,set static field via instance,VB JJ NN IN NN,spring-framework,ReflectionTestUtilsTests.java
4799,get static field via class,VB JJ NN IN NN,spring-framework,ReflectionTestUtilsTests.java
4800,get static field via instance,VB JJ NN IN NN,spring-framework,ReflectionTestUtilsTests.java
4801,invoke setter method and invoke getter method with explicit method names,VB NN NN CC VB NN NN IN JJ NN NNS,spring-framework,ReflectionTestUtilsTests.java
4802,invoke setter method and invoke getter method with java bean property names,VB NN NN CC VB NN NN IN NN NN NN NNS,spring-framework,ReflectionTestUtilsTests.java
4803,invoke setter method with null values for non primitives,VB NN NN IN JJ NNS IN RB NNS,spring-framework,ReflectionTestUtilsTests.java
4804,invoke setter method with null value for primitive long,VB NN NN IN JJ NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4805,invoke setter method with null value for primitive int,VB NN NN IN JJ NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4806,invoke setter method with null value for primitive boolean,VB NN NN IN JJ NN IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4807,invoke method with autoboxing and unboxing,VB NN IN VBG CC VBG,spring-framework,ReflectionTestUtilsTests.java
4808,invoke method with primitive var args,VB NN IN JJ NN NNS,spring-framework,ReflectionTestUtilsTests.java
4809,invoke method with primitive var args as single argument,VB NN IN JJ NN NNS IN JJ NN,spring-framework,ReflectionTestUtilsTests.java
4810,invoke method simulating lifecycle events,VB NN NN NN NNS,spring-framework,ReflectionTestUtilsTests.java
4811,invoke init method before autowiring,VB JJ NN IN VBG,spring-framework,ReflectionTestUtilsTests.java
4812,invoke method with incompatible argument types,VB NN IN JJ NN NNS,spring-framework,ReflectionTestUtilsTests.java
4813,invoke method with too few arguments,VB NN IN RB JJ NNS,spring-framework,ReflectionTestUtilsTests.java
4814,invoke method with too many arguments,VB NN IN RB JJ NNS,spring-framework,ReflectionTestUtilsTests.java
4815,register subscription,VB NN,spring-framework,SubscriptionRegistry.java
4816,unregister subscription,VB NN,spring-framework,SubscriptionRegistry.java
4817,unregister all subscriptions,VB DT NNS,spring-framework,SubscriptionRegistry.java
4818,find subscriptions,VB NNS,spring-framework,SubscriptionRegistry.java
4819,active beans,JJ NNS,spring-framework,MergedInitializersAnnotationConfigTests.java
4820,test duplicate pointcut config,VB JJ NN NN,spring-framework,AopNamespaceHandlerPointcutErrorTests.java
4821,test missing pointcut config,VB JJ NN NN,spring-framework,AopNamespaceHandlerPointcutErrorTests.java
4822,set iso,VB NNP,spring-framework,DateTimeFormatterFactory.java
4823,set date style,VB NN NN,spring-framework,DateTimeFormatterFactory.java
4824,set time style,VB NN NN,spring-framework,DateTimeFormatterFactory.java
4825,set date time style,VB NN NN NN,spring-framework,DateTimeFormatterFactory.java
4826,set style pattern,VB NN NN,spring-framework,DateTimeFormatterFactory.java
4827,convert style character,VB NN NN,spring-framework,DateTimeFormatterFactory.java
4828,create date time formatter,VB NN NN NN,spring-framework,DateTimeFormatterFactory.java
4829,create bean definition reader,VB NN NN NN,spring-framework,GenericXmlContextLoader.java
4830,get resource suffix,VB NN NN,spring-framework,GenericXmlContextLoader.java
4831,validate merged context configuration,VB JJ NN NN,spring-framework,GenericXmlContextLoader.java
4832,equals with null other object,VBZ IN JJ JJ NN,spring-framework,EncodedResourceTests.java
4833,equals with same encoding,VBZ IN JJ NN,spring-framework,EncodedResourceTests.java
4834,equals with different encoding,VBZ IN JJ NN,spring-framework,EncodedResourceTests.java
4835,equals with same charset,VBZ IN JJ NN,spring-framework,EncodedResourceTests.java
4836,equals with different charset,VBZ IN JJ NN,spring-framework,EncodedResourceTests.java
4837,equals with encoding and charset,VBZ IN NN CC NN,spring-framework,EncodedResourceTests.java
4838,slash in subtype,VB IN NN,spring-framework,MimeTypeTests.java
4839,value of no subtype,NN IN DT NN,spring-framework,MimeTypeTests.java
4840,value of no subtype slash,NN IN DT NN NN,spring-framework,MimeTypeTests.java
4841,value of illegal type,NN IN JJ NN,spring-framework,MimeTypeTests.java
4842,value of illegal subtype,NN IN JJ NN,spring-framework,MimeTypeTests.java
4843,value of illegal charset,NN IN JJ NN,spring-framework,MimeTypeTests.java
4844,parse charset,VB NN,spring-framework,MimeTypeTests.java
4845,parse quoted charset,VB VBN NN,spring-framework,MimeTypeTests.java
4846,with conversion service,IN NN NN,spring-framework,MimeTypeTests.java
4847,test to string,VB TO NN,spring-framework,MimeTypeTests.java
4848,parse mime type,VB NN NN,spring-framework,MimeTypeTests.java
4849,parse mime type no subtype,VB NN NN DT NN,spring-framework,MimeTypeTests.java
4850,parse mime type no subtype slash,VB NN NN DT NN NN,spring-framework,MimeTypeTests.java
4851,parse mime type type range,VB NN NN NN NN,spring-framework,MimeTypeTests.java
4852,parse mime type illegal type,VB NN NN JJ NN,spring-framework,MimeTypeTests.java
4853,parse mime type illegal subtype,VB NN NN JJ NN,spring-framework,MimeTypeTests.java
4854,parse mime type empty parameter attribute,VB NN NN JJ NN NN,spring-framework,MimeTypeTests.java
4855,parse mime type empty parameter value,VB NN NN JJ NN NN,spring-framework,MimeTypeTests.java
4856,parse mime type illegal parameter attribute,VB NN NN JJ NN NN,spring-framework,MimeTypeTests.java
4857,parse mime type illegal parameter value,VB NN NN JJ NN NN,spring-framework,MimeTypeTests.java
4858,parse mime type illegal charset,VB NN NN JJ NN,spring-framework,MimeTypeTests.java
4859,parse mime type quoted parameter value,VB NN NN VBN NN NN,spring-framework,MimeTypeTests.java
4860,parse mime type single quoted parameter value,VB NN NN JJ VBN NN NN,spring-framework,MimeTypeTests.java
4861,parse mime type illegal quoted parameter value,VB NN NN JJ VBN NN NN,spring-framework,MimeTypeTests.java
4862,parse mime types,VB NN NNS,spring-framework,MimeTypeTests.java
4863,compare to case sensitivity,VB TO NN NN,spring-framework,MimeTypeTests.java
4864,equals is case insensitive for charsets,VBZ VBZ NN JJ IN NNS,spring-framework,MimeTypeTests.java
4865,test singleton scoping,VB NN NN,spring-framework,AopNamespaceHandlerScopeIntegrationTests.java
4866,test request scoping,VB NN NN,spring-framework,AopNamespaceHandlerScopeIntegrationTests.java
4867,test session scoping,VB NN NN,spring-framework,AopNamespaceHandlerScopeIntegrationTests.java
4868,prepare test instance,VB NN NN,spring-framework,DependencyInjectionTestExecutionListener.java
4869,inject dependencies,VB NNS,spring-framework,DependencyInjectionTestExecutionListener.java
4870,set case sensitive,VB NN JJ,spring-framework,ControllerClassNameHandlerMapping.java
4871,set path prefix,VB NN NN,spring-framework,ControllerClassNameHandlerMapping.java
4872,set base package,VB NN NN,spring-framework,ControllerClassNameHandlerMapping.java
4873,build urls for handler,VB NNPS IN NN,spring-framework,ControllerClassNameHandlerMapping.java
4874,generate path mappings,VB NN NNS,spring-framework,ControllerClassNameHandlerMapping.java
4875,build path prefix,VB NN NN,spring-framework,ControllerClassNameHandlerMapping.java
4876,test introduction was made,VB NN VBD VBN,spring-framework,DeclareParentsTests.java
4877,test locking works,VB JJ NNS,spring-framework,DeclareParentsTests.java
4878,check not locked,VB RB VBN,spring-framework,DeclareParentsTests.java
4879,test set parameter value with null and type,VB VB NN NN IN NN CC NN,spring-framework,StatementCreatorUtilsTests.java
4880,test set parameter value with null and type name,VB VB NN NN IN NN CC NN NN,spring-framework,StatementCreatorUtilsTests.java
4881,test set parameter value with null and unknown type,VB VB NN NN IN NN CC JJ NN,spring-framework,StatementCreatorUtilsTests.java
4882,test set parameter value with null and unknown type on informix,VB VB NN NN IN NN CC JJ NN IN NN,spring-framework,StatementCreatorUtilsTests.java
4883,test set parameter value with null and unknown type on derby embedded,VB VB NN NN IN NN CC JJ NN IN NN JJ,spring-framework,StatementCreatorUtilsTests.java
4884,test set parameter value with null and get parameter type working,VB VB NN NN IN NN CC VB NN NN JJ,spring-framework,StatementCreatorUtilsTests.java
4885,test set parameter value with null and get parameter type working but not for other driver,VB VB NN NN IN NN CC VB NN NN JJ CC RB IN JJ NN,spring-framework,StatementCreatorUtilsTests.java
4886,test set parameter value with null and unknown type and get parameter type not working,VB VB NN NN IN JJ CC JJ NN CC VB NN NN RB JJ,spring-framework,StatementCreatorUtilsTests.java
4887,test set parameter value with string,VB VB NN NN IN NN,spring-framework,StatementCreatorUtilsTests.java
4888,test set parameter value with string and special type,VB VB NN NN IN NN CC JJ NN,spring-framework,StatementCreatorUtilsTests.java
4889,test set parameter value with string and unknown type,VB VB NN NN IN NN CC JJ NN,spring-framework,StatementCreatorUtilsTests.java
4890,test set parameter value with sql date,VB VB NN NN IN NNP NN,spring-framework,StatementCreatorUtilsTests.java
4891,test set parameter value with date and util date,VB VB NN NN IN NN CC NN NN,spring-framework,StatementCreatorUtilsTests.java
4892,test set parameter value with date and calendar,VB VB NN NN IN NN CC NN,spring-framework,StatementCreatorUtilsTests.java
4893,test set parameter value with sql time,VB VB NN NN IN NNP NN,spring-framework,StatementCreatorUtilsTests.java
4894,test set parameter value with time and util date,VB VB NN NN IN NN CC NN NN,spring-framework,StatementCreatorUtilsTests.java
4895,test set parameter value with time and calendar,VB VB NN NN IN NN CC NN,spring-framework,StatementCreatorUtilsTests.java
4896,test set parameter value with sql timestamp,VB VB NN NN IN NNP NN,spring-framework,StatementCreatorUtilsTests.java
4897,test set parameter value with timestamp and util date,VB VB NN NN IN NN CC NN NN,spring-framework,StatementCreatorUtilsTests.java
4898,test set parameter value with timestamp and calendar,VB VB NN NN IN NN CC NN,spring-framework,StatementCreatorUtilsTests.java
4899,test set parameter value with date and unknown type,VB VB NN NN IN NN CC JJ NN,spring-framework,StatementCreatorUtilsTests.java
4900,test set parameter value with calendar and unknown type,VB VB NN NN IN NN CC JJ NN,spring-framework,StatementCreatorUtilsTests.java
4901,test set parameter value with string and vendor specific type,VB VB NN NN IN NN CC NN JJ NN,spring-framework,StatementCreatorUtilsTests.java
4902,test set parameter value with null and vendor specific type,VB VB NN NN IN NN CC NN JJ NN,spring-framework,StatementCreatorUtilsTests.java
4903,parse listener,VB NN,spring-framework,AbstractListenerContainerParser.java
4904,parse listener configuration,VB NN NN,spring-framework,AbstractListenerContainerParser.java
4905,parse acknowledge mode,VB VB NN,spring-framework,AbstractListenerContainerParser.java
4906,for class,IN NN,spring-framework,EmptyTargetSource.java
4907,supports parameter,NNS NN,spring-framework,MatrixVariableMethodArgumentResolver.java
4908,create named value info,VB JJ NN NN,spring-framework,MatrixVariableMethodArgumentResolver.java
4909,resolve name,VB NN,spring-framework,MatrixVariableMethodArgumentResolver.java
4910,handle missing value,VB JJ NN,spring-framework,MatrixVariableMethodArgumentResolver.java
4911,get field,VB NN,spring-framework,ReflectionTestUtils.java
4912,invoke setter method,VB NN NN,spring-framework,ReflectionTestUtils.java
4913,invoke getter method,VB NN NN,spring-framework,ReflectionTestUtils.java
4914,apply before concurrent handling,VB IN JJ NN,spring-framework,DeferredResultInterceptorChain.java
4915,apply pre process,VB IN NN,spring-framework,DeferredResultInterceptorChain.java
4916,apply post process,VB IN NN,spring-framework,DeferredResultInterceptorChain.java
4917,trigger after timeout,VB IN NN,spring-framework,DeferredResultInterceptorChain.java
4918,trigger after completion,VB IN NN,spring-framework,DeferredResultInterceptorChain.java
4919,person,NN,spring-framework,XmlConfigTests.java
4920,tiles definitions,NNS NNS,spring-framework,XmlConfigTests.java
4921,set notification infos,VB NN NNS,spring-framework,AbstractConfigurableMBeanInfoAssembler.java
4922,set notification info mappings,VB NN NN NNS,spring-framework,AbstractConfigurableMBeanInfoAssembler.java
4923,get notification info,VB NN NN,spring-framework,AbstractConfigurableMBeanInfoAssembler.java
4924,extract notification metadata,VB NN NNS,spring-framework,AbstractConfigurableMBeanInfoAssembler.java
4925,get test bean,VB VB NN,spring-framework,TestBeanAwareMessenger.java
4926,set test bean,VB VB NN,spring-framework,TestBeanAwareMessenger.java
4927,create scoped proxy,VB VBN NN,spring-framework,ScopedProxyUtils.java
4928,get target bean name,VB NN NN NN,spring-framework,ScopedProxyUtils.java
4929,is scoped target,VBZ VBN NN,spring-framework,ScopedProxyUtils.java
4930,from byte array message,IN NN NN NN,spring-framework,StringMessageConverterTests.java
4931,from string message,IN NN NN,spring-framework,StringMessageConverterTests.java
4932,from message no content type header,IN NN DT NN NN NN,spring-framework,StringMessageConverterTests.java
4933,from message charset,IN NN NN,spring-framework,StringMessageConverterTests.java
4934,from message default charset,IN NN JJ NN,spring-framework,StringMessageConverterTests.java
4935,from message target class not supported,IN NN NN NN RB VBN,spring-framework,StringMessageConverterTests.java
4936,from message byte array,IN NN NN NN,spring-framework,StringMessageConverterTests.java
4937,get increment statement,VB NN NN,spring-framework,SybaseAnywhereMaxValueIncrementer.java
4938,encode scheme,VB NN,spring-framework,UriUtils.java
4939,encode authority,VB NN,spring-framework,UriUtils.java
4940,encode user info,VB NN NN,spring-framework,UriUtils.java
4941,encode host,VB NN,spring-framework,UriUtils.java
4942,encode port,VB NN,spring-framework,UriUtils.java
4943,encode path,VB NN,spring-framework,UriUtils.java
4944,encode path segment,VB NN NN,spring-framework,UriUtils.java
4945,encode query,VB NN,spring-framework,UriUtils.java
4946,encode query param,VB NN NN,spring-framework,UriUtils.java
4947,encode fragment,VB NN,spring-framework,UriUtils.java
4948,null defaults,JJ NNS,spring-framework,ParamTests.java
4949,send no destination resolver,VB DT NN NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4950,convert and send payload,VB CC VB NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4951,convert and send payload and headers,VB CC VB NN CC NNS,spring-framework,DestinationResolvingMessagingTemplateTests.java
4952,convert and send payload with post processor,VB CC VB NN IN IN NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4953,convert and send payload and headers with post processor,VB CC VB NN CC NNS IN IN NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4954,receive,VB,spring-framework,DestinationResolvingMessagingTemplateTests.java
4955,receive and convert,VB CC VB,spring-framework,DestinationResolvingMessagingTemplateTests.java
4956,send and receive,VB CC VB,spring-framework,DestinationResolvingMessagingTemplateTests.java
4957,convert send and receive,VB VB CC VB,spring-framework,DestinationResolvingMessagingTemplateTests.java
4958,convert send and receive with headers,VB VB CC VB IN NNS,spring-framework,DestinationResolvingMessagingTemplateTests.java
4959,convert send and receive with post processor,VB VB CC VB IN IN NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4960,convert send and receive with headers and post processor,VB VB CC VB IN NNS CC IN NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4961,set receive message,VB VB NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4962,do send,VB VB,spring-framework,DestinationResolvingMessagingTemplateTests.java
4963,do receive,VB VB,spring-framework,DestinationResolvingMessagingTemplateTests.java
4964,do send and receive,VB VB CC VB,spring-framework,DestinationResolvingMessagingTemplateTests.java
4965,register message channel,VB NN NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4966,resolve destination,VB NN,spring-framework,DestinationResolvingMessagingTemplateTests.java
4967,set bean factory,VB NN NN,spring-framework,PerConnectionWebSocketHandler.java
4968,destroy handler,VB NN,spring-framework,PerConnectionWebSocketHandler.java
4969,get bean factory,VB NN NN,spring-framework,DelegatingNavigationHandlerTests.java
4970,handle navigation without decoration,VB NN IN NN,spring-framework,DelegatingNavigationHandlerTests.java
4971,handle navigation with decoration,VB NN IN NN,spring-framework,DelegatingNavigationHandlerTests.java
4972,set support dtd,VB NN FW,spring-framework,SourceHttpMessageConverter.java
4973,is support dtd,VBZ NN FW,spring-framework,SourceHttpMessageConverter.java
4974,set process external entities,VB NN JJ NNS,spring-framework,SourceHttpMessageConverter.java
4975,is process external entities,VBZ NN JJ NNS,spring-framework,SourceHttpMessageConverter.java
4976,supports,VBZ,spring-framework,SourceHttpMessageConverter.java
4977,read internal,VBN JJ,spring-framework,SourceHttpMessageConverter.java
4978,read d o m source,VB NN NN NN NN,spring-framework,SourceHttpMessageConverter.java
4979,read s a x source,VB FW FW FW NN,spring-framework,SourceHttpMessageConverter.java
4980,read st a x source,VB FW FW FW NN,spring-framework,SourceHttpMessageConverter.java
4981,read stream source,VB NN NN,spring-framework,SourceHttpMessageConverter.java
4982,get content length,VB NN NN,spring-framework,SourceHttpMessageConverter.java
4983,write internal,VB JJ,spring-framework,SourceHttpMessageConverter.java
4984,resolve entity,VB NN,spring-framework,SourceHttpMessageConverter.java
4985,set authorized roles,VB JJ NNS,spring-framework,UserRoleAuthorizationInterceptor.java
4986,pre handle,IN VB,spring-framework,UserRoleAuthorizationInterceptor.java
4987,handle not authorized,VB RB VBN,spring-framework,UserRoleAuthorizationInterceptor.java
4988,test annotation binding in around advice,VB NN NN IN IN NN,spring-framework,AtAspectJAnnotationBindingTests.java
4989,test no matching without annotation present,VB DT VBG IN NN JJ,spring-framework,AtAspectJAnnotationBindingTests.java
4990,test pointcut evaulated against array,VB NN VBN IN NN,spring-framework,AtAspectJAnnotationBindingTests.java
4991,do with annotation,VB IN NN,spring-framework,AtAspectJAnnotationBindingTests.java
4992,invoke bean factory post processors,VB NN NN NN NNS,spring-framework,PostProcessorRegistrationDelegate.java
4993,register bean post processors,VB NN NN NNS,spring-framework,PostProcessorRegistrationDelegate.java
4994,sort post processors,VB IN NNS,spring-framework,PostProcessorRegistrationDelegate.java
4995,invoke bean definition registry post processors,VB NN NN NN NN NNS,spring-framework,PostProcessorRegistrationDelegate.java
4996,post process before initialization,VB NN IN NN,spring-framework,PostProcessorRegistrationDelegate.java
4997,post process after initialization,VB NN IN NN,spring-framework,PostProcessorRegistrationDelegate.java
4998,is infrastructure bean,VBZ NN NN,spring-framework,PostProcessorRegistrationDelegate.java
4999,post process merged bean definition,VB NN VBN NN NN,spring-framework,PostProcessorRegistrationDelegate.java
5000,post process before destruction,VB NN IN NN,spring-framework,PostProcessorRegistrationDelegate.java
5001,requires destruction,VBZ NN,spring-framework,PostProcessorRegistrationDelegate.java
5002,set interceptors,VB NNS,spring-framework,InterceptingHttpAccessor.java
