,sequence,pos,nltk,corenlp,opennlp,spacy,flair
796,get simple string,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
797,physical font name for,JJ NN NN IN,JJ NN NN IN,VB NN NN IN,JJ NN NN IN,JJ NN NN IN,JJ NN NN IN
798,get val string,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NNP NN
799,first,JJ,JJ,JJ,JJ,JJ,JJ
800,last,JJ,JJ,JJ,JJ,JJ,JJ
801,current,JJ,JJ,JJ,JJ,JJ,JJ
802,previous,JJ,JJ,JJ,JJ,JJ,JJ
803,set index,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
804,get begin index,VB JJ NN,VB NN NN,VB VB NN,VB NN NN,VB NN NN,VB VB NN
805,get end index,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
806,get index,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
807,clone,VB,NN,VB,VB,VB,NN
808,values,NNS,NNS,NNS,NNS,VBZ,NNS
809,create image type list,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
810,get color space,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
811,create image list,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
812,make image,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
813,get transparency,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
814,set value from string,VBN NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN
815,modify test,VB NN,VB NN,VB NN,VB VB,VB NN,VB NN
816,restore test,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
817,read results,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
818,add result set,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
819,read result set,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
820,read result,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
821,get string attribute,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
822,get long attribute,VB NN NN,VB JJ NN,VB NN NN,VB JJ NN,VB NN NN,VB JJ NN
823,get int attribute,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
824,get title,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
825,get key enumeration,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
826,get result enumeration,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
827,get result by key,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN,VB NN IN NN
828,get result set,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
829,has more elements,VBZ JJ NNS,VBZ JJR NNS,VBZ JJR NNS,VBZ NN NNS,VBZ JJR NNS,VBZ JJR NNS
830,next element,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN,JJ NN
831,set end time,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
832,get end time,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
833,set property,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
834,get properties,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
835,add result,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
836,set name,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
837,get short key,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
838,make key,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
839,get reps,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
840,add option,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
841,get options,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
842,get spread,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
843,get score,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
844,get best score,VB JJS NN,VB JJS NN,VB JJS NN,VB NN NN,VB NN NN,VB JJS NN
845,get all scores,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS
846,calc percent,VB NN,VB NN,VB NN,VB NN,VB NN,NN NN
847,format,NN,VB,VB,VB,VB,NN
848,set mode,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
849,open file,VB NN,VB NN,VB NN,VB NN,JJ NN,VB NN
850,generate series report,VB NNS NN,VB NN NN,VB NN NN,VB NNS NN,VB NNS NN,VB NN NN
851,print iio table,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
852,print wiki table,VB NN NN,VB NN NN,VB NN NN,VB NNP NN,VB NNS NN,VB NN NN
853,print html table,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NNP NN
854,print html cell,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB VBZ NN,VB NN NN
855,to sorted array,TO VBN NN,TO JJ NN,TO JJ NN,TO JJ NN,TO JJ NN,TO JJ NN
856,sort 2,VB CD,NN CD,NN CD,NN CD,NN CD,NN CD
857,magic,NN,VB,VB,JJ,NN,NN
858,set group level,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
859,add group,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
860,get display group name,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
861,get group,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
862,generate report,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
863,generate comparison report,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
864,generate group summary report,VB NN NN NN,VB NN JJ NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
865,generate test case summary report,VB NN NN NN NN,VB NN NN JJ NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN
866,get test results table for summary,VB NN NNS NN IN NN,VB NN NNS NN IN NN,VB NN NNS NN IN NN,VB NN NNS NN IN NN,VB NN NNS NN IN NN,VB NN NNS NN IN NN
867,get status table for summary,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN
868,get performance table for testcase,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN,VB NN NN IN NN
869,generate test case report,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
870,get footer,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
871,get header,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
872,get header title,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
873,generate sys props report,VB NN NNS NN,VB JJ NNS NN,VB NN NNS NN,VB NN NNS NN,VB JJ NNS NN,VB NNP NNS NN
874,select color,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
875,calculate speedup percentage,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NNS NN,VB NN NN
876,add dependency,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
877,add dependencies,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
878,run one test,VB CD NN,VB CD NN,VB CD NN,VB CD NN,VB CD NN,VB CD NN
879,run test loop,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
880,calibrate,VB,VB,VB,VB,VB,VB
881,adjust width,VB NN,VB NN,VB NN,VB IN,VB NN,VB NN
882,get modifier,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
883,get filter,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
884,recurse and run,VB CC VB,VB CC VB,VB CC VB,VB CC VB,VB CC VB,VB CC VB
885,run all tests,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS
886,start timing,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
887,stop timing,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
888,get time millis,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB NN NNS
889,get time nanos,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
890,get canvas,VB NN,VB NN,VB NN,VB NNS,VB NN,VB NN
891,get src image,VB NN NN,VB NN NN,VB NN NN,VB FW NN,VB NN NN,VB JJ NN
892,stop,VB,VB,VB,VB,VB,VB
893,is stopped,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBD,VBZ VBN,VBZ VBN
894,set test image,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
895,set src image,VB NN NN,VB NN NN,VB NN NN,VB FW NN,VB NN NN,VB NN NN
896,erase,VB,VB,VB,VB,VB,VB
897,get graphics,VB NNS,VB NNS,VB NN,VB NN,VB NNS,VB NNS
898,get width,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
899,get height,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
900,get rep count,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
901,get test time,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
902,sync,VB,NN,NN,NN,NN,NN
903,idle,VB,VB,VB,VB,NN,NN
904,set modifier,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
905,is enabled,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN,VBZ VBN
906,get int value,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB JJ NN
907,remove modifier,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
908,flush to screen,VB TO NN,VB TO NN,VB TO NN,VB TO NN,VB TO NN,VB TO NN
909,get impl,VB NN,VB NN,VB NN,VB NNP,VB NNP,VB NNP
910,get iterator,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
911,get tree name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
912,get parent,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
913,get node name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
914,set next,VB JJ,VB JJ,VB JJ,VB JJ,VB NN,VB JJ
915,traverse,VB,VB,VB,VB,VB,VB
916,add child,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
917,get child iterator,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
918,get recursive child iterator,VB JJ NN NN,VB JJ NN NN,VB NN NN NN,VB JJ NN NN,VB JJ NN NN,VB JJ NN NN
919,get first child,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
920,is bordered,VBZ JJ,VBZ VBN,VBZ NN,VBZ VBN,VBZ VBN,VBZ VBN
921,is tabbed,VBZ JJ,VBZ VBN,VBZ NN,VBZ VBN,VBZ NN,VBZ VBN
922,is hidden,VBZ JJ,VBZ VBN,VBZ NN,VBZ VBN,VBZ JJ,VBZ VBN
923,is horizontal,VBZ JJ,VBZ NN,VBZ NN,VBZ JJ,VBZ JJ,VBZ JJ
924,set bordered,VB JJ,VB NN,VB NN,VB JJ,VB NNS,VB VBN
925,set tabbed,VB JJ,VB NN,VB NN,VB NNS,VB NN,VB VBN
926,set hidden,VB JJ,VB NN,VB NN,VB NN,VB NN,VB NN
927,set horizontal,VB JJ,VB NN,VB NN,VB JJ,VB NN,VB JJ
928,add enable buttons,VB VB NNS,VB JJ NNS,VB VB NNS,VB JJ NNS,VB JJ NNS,VB VB NNS
929,restore all defaults,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS,VB DT NNS
930,write all,VB DT,VB DT,VB DT,VB DT,VB DT,VB DT
931,set destination,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
932,get long description,VB JJ NN,VB JJ NN,VB NN NN,VB NN NN,VB JJ NN,VB JJ NN
933,is default,VBZ NN,VBZ NN,VBZ NN,VBZ JJ,VBZ NN,VBZ NN
934,get option string,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
935,update gui,VB NNP,VB NN,VB NN,VB NN,VB NN,VB NN
936,item state changed,NN NN VBD,NN NN VBN,NN NN VBN,NN NN VBN,NN NN VBN,NN NN VBN
937,insert string,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
938,trim,VB,VB,VB,VB,VB,VB
939,set num rows,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
940,value changed,NN VBD,NN VBN,NN VBN,NN VBN,NN VBN,NN VBN
941,find value index,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
942,make names,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
943,make values,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
944,get boolean value,VB NN NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
945,set value,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
946,remove,VB,VB,VB,VB,VB,VB
947,add layout component,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN
948,remove layout component,VB NN NN,VB NN NN,VB NN NN,VB JJ NN,VB NN NN,VB NN NN
949,preferred layout size,JJ NN NN,VBN NN NN,JJ NN NN,VBD JJ NN,VBN NN NN,JJ NN NN
950,minimum layout size,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN,JJ NN NN
951,layout container,NN NN,NN NN,NN NN,NN NN,VB NN,NN NN
952,dispatch event,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
953,compose unicode escape,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
954,wait escape character,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB VB NN
955,wait digit,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
956,wait digit 2,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD,VB NN CD
957,wait back slash or low surrogate,VB JJ NN CC JJ NN,VB NN NN CC JJ NN,VB NN NN CC JJ JJ,VB NN NN CC NN NN,VB NN NN CC JJ NN,VB IN NN CC JJ NN
958,send composed text,VB VBN NN,VB VBN NN,VB NN NN,VB VBN NN,VB VBN NN,VB VBN NN
959,send committed text,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN,VB VBN NN,VB JJ NN
960,move caret left,VB NN NN,VB NN NN,VB NN JJ,VB NN NN,VB NN NN,VB NN NN
961,move caret right,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
962,delete previous character,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
963,delete character,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
964,start composition,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
965,cancel composition,VB NN,VB NN,NN NN,NN NN,NN NN,VB NN
966,finish composition,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
967,get code point,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
968,beep,VB,VB,VB,VB,VB,VB
969,deactivate,VB,VB,VB,VB,VB,VB
970,dispose,VB,VB,VB,VB,VB,VB
971,get control object,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
972,end composition,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
973,get locale,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
974,hide windows,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
975,is composition enabled,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN
976,notify client window change,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
977,reconvert,VB,VB,VB,VB,VB,VB
978,remove notify,VB NN,VB NN,VB VB,VB VB,VB NN,VB NN
979,set character subsets,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB NN NNS
980,set composition enabled,VB NN VBN,VB NN VBN,VB NN VBN,VB NN VBN,VB NN VBN,VB NN VBN
981,set input method context,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
982,set locale,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
983,create input method,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
984,get available locales,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS,VB JJ NNS
985,get input method display name,VB JJ NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN,VB NN NN NN NN
986,get input method icon,VB JJ NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
987,has dynamic locale list,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN,VBZ JJ NN NN
988,get column count,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
989,get row count,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
990,get value at,VB NN IN,VB NN IN,VB NN IN,VB NN IN,VB NN IN,VB NN IN
991,get column name,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
992,get column class,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
993,is cell editable,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ,VBZ NN JJ
994,set value at,VB NN IN,VB NN IN,VB NN IN,VB NN IN,VB NN IN,VB NN IN
995,execute query,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
996,db representation,NN NN,VB NN,VB NN,NN NN,FW NN,FW NN
997,get column index,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
998,add column,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
999,remove column,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1000,add row,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1001,remove row,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1002,move row,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1003,insert row,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1004,set data vector,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN
1005,check default table model,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1006,edit column row,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1007,move column,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1008,is column selected,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN,VBZ NN VBN
1009,get model,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1010,set model,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1011,table changed,NN VBN,NN VBN,NN VBN,NN VBN,VB VBN,NN VBN
1012,compare rows by column,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN,VB NNS IN NN
1013,reallocate indexes,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1014,check model,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1015,n 2 sort,NN CD VB,NN CD NN,NN CD NN,NN CD NN,FW CD NN,FW CD NN
1016,shuttlesort,NN,VB,VB,VB,NN,NN
1017,swap,VB,VB,VB,VB,VB,VB
1018,sort by column,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
1019,add mouse listener to header in table,VB NN NN TO VB IN NN,VB NN NN TO NN IN NN,VB NN NN TO NN IN NN,VB NN NN TO NN IN NN,VB NN NN TO NN IN NN,VB NN NN TO NN IN NN
1020,mouse clicked,NN VBN,VB VBN,VB NN,VB VBN,NN VBN,NN VBN
1021,activate connection dialog,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1022,create connection dialog,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1023,connect,VB,VB,VB,VB,VB,VB
1024,fetch,VB,VB,VB,VB,VB,VB
1025,create table,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1026,create new folder,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1027,get roots,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1028,get system display name,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN
1029,put description,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1030,put type description,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1031,get type description,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1032,get extension,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1033,put icon,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1034,get icon,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1035,is traversable,VBZ JJ,VBZ JJ,VBZ NN,VBZ JJ,VBZ JJ,VBZ JJ
1036,get maximum size,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN,VB JJ NN
1037,reset file filters,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NNS,VB NN NNS
1038,create file filter,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1039,create file name filter description from extensions,VB NN NN JJ NN IN NNS,VB NN NN NN NN IN NNS,VB NN NN NN NN IN NNS,VB NN NN NN NN IN NNS,VB NN NN NN NN IN NNS,VB NN NN NN NN IN NNS
1040,back,VB,NN,VB,NN,NN,NN
1041,get result string,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1042,load image,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1043,property change,NN NN,NN NN,NN NN,NN NN,NN NN,NN NN
1044,paint,VB,NN,VB,VB,VB,VB
1045,get insets,VB NNS,VB NNS,VB NN,VB NNS,VB NNS,VB NNS
1046,get controls,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1047,get memory monitor,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1048,get performance monitor,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1049,get tabbed pane,VB JJ NN,VB VBN NN,VB NN NN,VB NNS NN,VB NN NN,VB VBN NN
1050,set group columns,VB NN NN,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS,VB NN NNS
1051,get verbose cb,VB JJ FW,VB NN NN,VB NN NN,VB NN NN,VB JJ NNS,VB JJ NNP
1052,get ccthread cb,VB NNP FW,VB NN NN,VB NN NN,VB NN NN,VB NN FW,VB NN NNP
1053,get print cb,VB NN FW,VB NN NN,VB NN NN,VB NN NN,VB NN FW,VB NN NNP
1054,get background color,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1055,get memory cb,VB NN FW,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NNP
1056,get perf cb,VB NN FW,VB NN NN,VB NN NN,VB NN NN,VB NN FW,VB NN NNP
1057,get intro,VB NN,VB NN,VB NN,VB JJ,VB NN,VB NN
1058,do run action,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
1059,sleep per tab,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN,VB IN NN
1060,print demo,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1061,invoke and wait,VB CC VB,VB CC VB,VB CC VB,VB CC VB,VB CC NN,VB CC VB
1062,get delay,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1063,set delay,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1064,set num runs,VB NN NNS,VB NN NNS,VB NN NN,VB NN NNS,VB NN NN,VB NN NNS
1065,get exit,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1066,set exit,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1067,is zoom cb selected,VBZ NN FW VBN,VBZ NN NN VBN,VBZ NN NN JJ,VBZ NN NN VBN,VBZ NN NN JJ,VBZ NN NNP VBN
1068,set zoom cb selected,VB NN FW VBN,VB NN NN VBN,VB NN NN JJ,VB NN NN VBN,VB NN NN VBN,VB NN NNP VBN
1069,is print cb selected,VBZ NN FW VBN,VBZ NN NN VBN,VBZ NN NN JJ,VBZ NN NN VBN,VBZ NN NN JJ,VBZ NN NN VBN
1070,set print cb is selected,VB NN FW VBZ VBN,VB NN NN VBZ VBN,VB NN NN VBZ VBN,VB NN NN NNS VBN,VB NN NNS VBZ VBN,VB NN NN VBZ VBN
1071,get buffers flag,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN
1072,set buffers flag,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN,VB NNS NN
1073,get buf beg,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1074,set buf beg,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1075,get buf end,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1076,set buf end,VB NN NN,VB JJ NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1077,set demo border,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1078,create menu bar,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1079,create run window,VB NN NN,VB VB NN,VB NN NN,VB NN NN,VB VB NN,VB VB NN
1080,window closed,NN VBN,NN VBN,NN VBN,NN VBN,NN VBN,NN VBN
1081,start run window,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN,VB VB NN
1082,get plugin group id,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN NN,VB NN NN NN
1083,get plugin artifact id,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN,VB NN NN NN NN,VB NN NN NN
1084,get plugin version,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1085,get goal,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1086,get project,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1087,load plugin,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1088,execute mojo,VB NNP,VB NN,VB NN,VB NN,VB NNS,VB NN
1089,get plugin realm,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN,VB NN NN
1090,get mojo descriptor,VB NNP NN,VB NN NN,VB NN NN,VB NN NN,VB NNS NN,VB NN NN
1091,get realm,VB NN,VB NN,VB NN,VB JJ,VB NN,VB NN
1092,get artifacts,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS,VB NNS
1093,create key,VB NN,VB NN,VB NN,VB NN,VB NN,VB NN
1094,hash,NN,NN,NN,VB,NN,VB
1095,to message,TO NN,TO NN,TO NN,TO NN,TO NN,TO NN
